ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20190102,74.25,74.97,73.53,73.66,73.8,-0.14,-0.1897,43940.96,326259.378,-0.001898821
300750.SZ,20190103,72.51,74.54,72.51,73.83,73.66,0.17,0.2308,44949.03,332238.737,0.002305242
300750.SZ,20190104,73.33,77.24,73.23,76.96,73.83,3.13,4.2395,79053.31,602100.011,0.041520653
300750.SZ,20190107,76.94,77.65,76.3,77.42,76.96,0.46,0.5977,59695.59,460577.318,0.005959339
300750.SZ,20190108,77.22,79.45,77.2,79.33,77.42,1.91,2.4671,85749.9,674107.579,0.024371222
300750.SZ,20190109,77,78.21,75.18,77.98,79.33,-1.35,-1.7018,123798.79,952624.089,-0.017163984
300750.SZ,20190110,77.64,77.85,76.02,76.28,77.98,-1.7,-2.18,83942.73,644858.368,-0.022041603
300750.SZ,20190111,76.6,76.75,74.8,75.29,76.28,-0.99,-1.2979,61367.03,463701.25,-0.013063457
300750.SZ,20190114,75.3,76.33,74.3,76.08,75.29,0.79,1.0493,48487.95,366505.969,0.010438094
300750.SZ,20190115,76,77.48,74.85,77.37,76.08,1.29,1.6956,58736.35,448317.233,0.01681369
300750.SZ,20190116,76.9,77.2,76.41,76.67,77.37,-0.7,-0.9047,25738.62,197749.843,-0.009088611
300750.SZ,20190117,76.95,77.69,76.41,76.66,76.67,-0.01,-0.013,37188.09,286721.586,-0.000130438
300750.SZ,20190118,77.16,77.16,74,75.4,76.66,-1.26,-1.6436,65039.27,488797.282,-0.016572785
300750.SZ,20190121,75.03,75.63,74.26,75.24,75.4,-0.16,-0.2122,52411.59,392168.954,-0.002124271
300750.SZ,20190122,75,75.67,74.03,74.27,75.24,-0.97,-1.2892,42588.58,318440.028,-0.012975903
300750.SZ,20190123,74.26,75.66,74.01,75.44,74.27,1.17,1.5753,48847.98,367089.066,0.015630537
300750.SZ,20190124,75,75.86,74.7,75.17,75.44,-0.27,-0.3579,37984.18,286305.027,-0.003585423
