ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
600529.SH,20190102,19,19.07,18.46,18.61,19,-0.39,-2.0526,21969.4,41118.622,-0.020739909
600529.SH,20190103,18.53,18.6,17.8,17.8,18.61,-0.81,-4.3525,55630.67,100501.842,-0.044500613
600529.SH,20190104,17.75,18.77,17.71,18.47,17.8,0.67,3.764,48820.38,89594.667,0.036949337
600529.SH,20190107,18.8,19.22,18.51,19.17,18.47,0.7,3.7899,33745.92,64286.66,0.037198763
600529.SH,20190108,19.19,19.36,18.94,19.1,19.17,-0.07,-0.3652,31351.16,60063.343,-0.003658222
600529.SH,20190109,19.55,19.55,18.9,19.14,19.1,0.04,0.2094,23358.77,44624.9,0.002092051
600529.SH,20190110,18.88,19.14,18.88,18.93,19.14,-0.21,-1.0972,13585.35,25838.445,-0.011032421
600529.SH,20190111,19.1,19.1,18.4,18.58,18.93,-0.35,-1.8489,26993.69,50153.514,-0.018662232
600529.SH,20190114,18.58,18.79,18.12,18.51,18.58,-0.07,-0.3767,26617.16,49190.975,-0.003774607
600529.SH,20190115,18.5,18.94,18.33,18.86,18.51,0.35,1.8909,28166.55,52668.675,0.018732151
600529.SH,20190116,18.86,19.04,18.59,18.91,18.86,0.05,0.2651,18651.83,35067.966,0.002647605
600529.SH,20190117,18.91,19.8,18.74,19.49,18.91,0.58,3.0672,41738.94,81500.66,0.030210631
600529.SH,20190118,19.48,19.82,19.04,19.73,19.49,0.24,1.2314,31735.26,62275.399,0.012238807
600529.SH,20190121,19.74,20.17,19.63,20.13,19.73,0.4,2.0274,39416.06,78773.273,0.02007092
600529.SH,20190122,20.12,20.12,19.59,19.74,20.13,-0.39,-1.9374,25854.35,51167.484,-0.019564206
600529.SH,20190123,19.64,20.55,19.43,20.06,19.74,0.32,1.6211,25428.21,51146.739,0.016080749
600529.SH,20190124,20.06,20.53,19.84,20.52,20.06,0.46,2.2931,23855.62,48540.984,0.022672238
600529.SH,20190125,20.52,20.56,20.2,20.37,20.52,-0.15,-0.731,17019.08,34656.44,-0.00733679
600529.SH,20190128,20.39,20.85,19.83,20.5,20.37,0.13,0.6382,26809.56,54808.905,0.006361656
600529.SH,20190129,20.35,20.64,20.08,20.46,20.5,-0.04,-0.1951,22693.83,46336.105,-0.001953126
600529.SH,20190130,20.39,20.62,19.8,19.94,20.46,-0.52,-2.5415,22611.98,45588.384,-0.025743996
600529.SH,20190131,19.97,20.65,19.9,20.41,19.94,0.47,2.3571,28173.31,57473.208,0.023297212
600529.SH,20190201,20.37,20.57,20.14,20.22,20.41,-0.19,-0.9309,27872.35,56601.655,-0.009352763
600529.SH,20190211,20.2,21.03,20.15,20.9,20.22,0.68,3.363,38054.71,79063.392,0.033076945
600529.SH,20190212,20.89,21.46,20.76,20.9,20.9,0,0,43424.41,91625.792,0
600529.SH,20190213,20.99,20.99,20.65,20.88,20.9,-0.02,-0.0957,44630.91,92720.712,-0.000957396
600529.SH,20190214,20.8,20.84,20.38,20.59,20.88,-0.29,-1.3889,32837.59,67607.867,-0.013986242
600529.SH,20190215,20.5,20.76,20.38,20.56,20.59,-0.03,-0.1457,46062.69,94745.958,-0.00145808
600529.SH,20190218,20.55,21.38,20.55,21.22,20.56,0.66,3.2101,49672.2,104919.355,0.031596693
600529.SH,20190219,21.24,21.39,20.96,21.05,21.22,-0.17,-0.8011,47955.32,101387.105,-0.008043573
600529.SH,20190220,21.09,21.25,20.7,20.96,21.05,-0.09,-0.4276,36077.53,75575.433,-0.004284701
600529.SH,20190221,20.96,21.67,20.82,21.32,20.96,0.36,1.7176,40970.09,87256.165,0.01702974
600529.SH,20190222,21.16,21.65,21.08,21.46,21.32,0.14,0.6567,25158.12,53585.746,0.006545138
600529.SH,20190225,21.67,21.79,20.75,21.67,21.46,0.21,0.9786,107864.66,229317.689,0.009738078
600529.SH,20190226,21.48,21.68,21.15,21.17,21.67,-0.5,-2.3073,90678.19,193607.052,-0.02334373
600529.SH,20190227,21.05,21.28,20.6,20.9,21.17,-0.27,-1.2754,87658.23,182878.969,-0.012835926
600529.SH,20190228,20.82,21.25,20.67,20.97,20.9,0.07,0.3349,45587.66,95561.666,0.003343686
600529.SH,20190301,20.97,21.24,20.91,21.16,20.97,0.19,0.9061,32355.38,68244.895,0.009019762
600529.SH,20190304,21.2,21.58,21.06,21.35,21.16,0.19,0.8979,70156.6,149323.169,0.008939133
600529.SH,20190305,21.27,21.93,20.75,21.68,21.35,0.33,1.5457,67395.48,142968.031,0.015338437
600529.SH,20190306,21.68,21.98,21.44,21.76,21.68,0.08,0.369,46462.63,100636.638,0.003683245
600529.SH,20190307,21.72,21.85,21.19,21.61,21.76,-0.15,-0.6893,48985.06,105474.393,-0.006917251
600529.SH,20190308,21.61,21.64,20.6,20.6,21.61,-1.01,-4.6738,45050.79,95128.946,-0.047865095
600529.SH,20190311,20.47,21.3,20.4,21.26,20.6,0.66,3.2039,42599.91,89433.859,0.031536297
600529.SH,20190312,21.3,22.28,21.3,21.7,21.26,0.44,2.0696,58473.09,126767.468,0.020484888
600529.SH,20190313,21.95,22.09,21.61,21.74,21.7,0.04,0.1843,36566.83,79986.289,0.001841621
600529.SH,20190314,21.65,21.79,21.19,21.4,21.74,-0.34,-1.5639,24037.22,51589.449,-0.01576296
600529.SH,20190315,21.28,21.96,21.28,21.9,21.4,0.5,2.3364,33805.27,73359.069,0.023095715
600529.SH,20190318,21.95,23.2,21.71,22.98,21.9,1.08,4.9315,66050.59,149666.765,0.048137636
