ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300677.SZ,20190102,14.61,14.86,14.61,14.68,14.71,-0.03,-0.2039,7960.8,11737.507,-0.002041511
300677.SZ,20190103,14.63,14.83,14.48,14.67,14.68,-0.01,-0.0681,8963.72,13150.806,-0.000681431
300677.SZ,20190104,14.52,15.01,14.35,14.97,14.67,0.3,2.045,13480.42,19958.147,0.020243606
300677.SZ,20190107,15.03,15.49,14.97,15.29,14.97,0.32,2.1376,11829.37,18017.123,0.021150822
300677.SZ,20190108,15.31,15.88,15.04,15.44,15.29,0.15,0.981,19560.04,30247.845,0.009762525
300677.SZ,20190109,15.3,15.47,15.12,15.35,15.44,-0.09,-0.5829,19130.08,29252.563,-0.005846071
300677.SZ,20190110,15.28,15.28,14.99,15,15.35,-0.35,-2.2801,13160,19887.083,-0.023065273
300677.SZ,20190111,15,15.15,14.96,15.11,15,0.11,0.7333,9877.16,14867.786,0.007306575
300677.SZ,20190114,15.06,15.28,14.88,14.93,15.11,-0.18,-1.1913,8705.59,13076.428,-0.011984165
300677.SZ,20190115,14.86,15.17,14.82,15.17,14.93,0.24,1.6075,8656.77,13037.932,0.015947182
300677.SZ,20190116,15.36,15.9,15.35,15.75,15.17,0.58,3.8233,32418,50955.837,0.037520572
300677.SZ,20190117,15.61,15.7,15.4,15.47,15.75,-0.28,-1.7778,14628.18,22688.438,-0.017937701
300677.SZ,20190118,15.58,15.59,15.17,15.42,15.47,-0.05,-0.3232,12974.03,19938.77,-0.003237296
300677.SZ,20190121,15.38,15.72,15.26,15.54,15.42,0.12,0.7782,12701.54,19700.653,0.007751977
300677.SZ,20190122,15.53,15.53,15.05,15.22,15.54,-0.32,-2.0592,16019.83,24427.596,-0.020806993
300677.SZ,20190123,15.19,15.47,15.18,15.44,15.22,0.22,1.4455,13400.57,20542.93,0.014351192
300677.SZ,20190124,15.38,15.66,15.36,15.6,15.44,0.16,1.0363,12632.01,19637.484,0.01030937
300677.SZ,20190125,15.5,15.67,15.3,15.3,15.6,-0.3,-1.9231,11394.8,17640.919,-0.019418086
300677.SZ,20190128,15.3,15.59,15.18,15.3,15.3,0,0,12072,18552.272,0
300677.SZ,20190129,15.27,15.3,14.58,14.89,15.3,-0.41,-2.6797,16728.02,24889.759,-0.027162982
300677.SZ,20190130,14.89,15.2,14.7,15.02,14.89,0.13,0.8731,11196,16891.681,0.0086928
